All|All
Renal|Renal tubular disease
Pelvic|Pelvic kidney
Hydronephrosis|Hydronephrosis
Renal|Renal salt wasting
Renal|Renal salt-wasting
Salt|Salt wasting
Salt-wasting|Salt-wasting
Renal|Renal potassium wasting
Abnormality|Abnormality of the uterus
Uterine|Uterine abnormalities
Uterine|Uterine malformations
Uterine|Uterine leiomyoma
Benign|Benign uterine leiomyomas
Uterine|Uterine fibroid
Menorrhagia|Menorrhagia
Gonadal|Gonadal dysgenesis
Mixed|Mixed gonadal dysgenesis
Pure|Pure gonadal dysgenesis
Female|Female hypogonadism
Hypogonadism,|Hypogonadism, female
Hypogonadism|Hypogonadism
Bifid|Bifid uterus
Abnormality|Abnormality of the ovary
Abnormality|Abnormality of the ovaries
Ovarian|Ovarian cysts
Cystic|Cystic abnormalities of the ovaries
Cystic|Cystic ovaries
Ovarian|Ovarian cystic abnormality
Uterine|Uterine prolapse
Abnormality|Abnormality of the menstrual cycle
Amenorrhea|Amenorrhea
Abnormality|Abnormality of the vagina
Vaginal|Vaginal malformation
Rectovaginal|Rectovaginal fistula
Decreased|Decreased fertility
Transverse|Transverse vaginal septum
Transverse|Transverse vaginal membrane
Polycystic|Polycystic ovaries
Polycystic|Polycystic ovary
Polycystic|Polycystic ovary disease
Sclerocystic|Sclerocystic ovaries
Vaginal|Vaginal atresia
Ovarian|Ovarian gonadoblastoma
Gonadoblastoma,|Gonadoblastoma, female
Gonadoblastoma|Gonadoblastoma
Aplasia|Aplasia of the uterus
Absent|Absent uterus
Abnormality|Abnormality of head and neck
Head|Head and neck abnormality
Abnormality|Abnormality of the mouth
Wide|Wide mouth
Broad|Broad mouth
Large|Large mouth
Macrostomia|Macrostomia
Oral|Oral ulcer
High-arched|High-arched palate
High|High arched palate
High|High narrow palate
High,|High, arched palate
Abnormality|Abnormality of the tongue
Tongue|Tongue abnormality
Macroglossia|Macroglossia
Hyperplasia|Hyperplasia of the tongue
Hypertrophy|Hypertrophy of the tongue
Large|Large tongue
Tongue|Tongue hypertrophy
Abnormality|Abnormality of the lip
Lip|Lip abnormality
Narrow|Narrow mouth
Microstomia|Microstomia
Small|Small mouth 
Small|Small oral aperture
Median|Median cleft lip
Midline|Midline cleft lip
Glossoptosis|Glossoptosis
Abnormality|Abnormality of the oral cavity
Abnormality|Abnormality of the teeth
Abnormal|Abnormal dentition
Abnormal|Abnormal teeth
Dental|Dental abnormalities
Dental|Dental abnormality
Dental|Dental anomalies
Severe|Severe periodontitis
Abnormality|Abnormality of the gingiva
Gingival|Gingival abnormality
Gingival|Gingival fibromatosis
Gingival|Gingival fibroma
Gingival|Gingival fibrous nodules
Microglossia|Microglossia
Hypoglossia|Hypoglossia
Hypoplasia|Hypoplasia of the tongue
Hypoplastic|Hypoplastic tongue
Rudimentary|Rudimentary tongue
Small|Small tongue
Abnormality|Abnormality of the uvula
Abnormality|Abnormality of the palate
Cleft|Cleft palate
Submucous|Submucous cleft hard palate
Submucosal|Submucosal cleft palate
Abnormality|Abnormality of upper lip
Abnormality|Abnormality of lower lip
Thick|Thick lower lip vermilion
Prominent|Prominent lower lip
Lobulated|Lobulated tongue
Lobulate|Lobulate tongue
Movement|Movement abnormality of the tongue
Difficulty|Difficulty in tongue movements
Cleft|Cleft soft palate
Broad|Broad alveolar ridges
Broad|Broad alveolar margins
Widened|Widened alveolar ridges
Short|Short upper lip
Narrow|Narrow palate
Abnormality|Abnormality of oral frenula
Accessory|Accessory oral frenulum
Extra|Extra oral frenulum
Supernumerary|Supernumerary oral frenulum
Bifid|Bifid uvula
Cleft|Cleft uvula
Uvula|Uvula bifida
Open|Open mouth
Lower|Lower lip pit
Abnormality|Abnormality of parotid gland
Absence|Absence of Stensen duct
Absent|Absent stensen duct
Tongue|Tongue nodules
Short|Short lingual frenulum
Short|Short tongue frenulum
Pierre-Robin|Pierre-Robin sequence
Pierre|Pierre Robin sequence
Robin|Robin sequence
Oral|Oral cleft
Oral|Oral clefting
Cleft|Cleft upper lip
Pursed|Pursed lips
Glossitis|Glossitis
Triangular|Triangular mouth
Triangular|Triangular shaped mouth
Trismus|Trismus
Gingival|Gingival overgrowth
Gingival|Gingival hyperplasia
Gingival|Gingival hypertrophy
Gum|Gum hypertrophy
Thin|Thin lips
Lip|Lip telangiectasia
Lip|Lip telangiectases
TELANGIECTASIA|TELANGIECTASIA OF THE LIPS
Thick|Thick upper lip vermilion
Prominent|Prominent upper lip
Thick|Thick upper lip
Thick|Thick vermilion border of upper lip
Broad|Broad secondary alveolar ridge
Secondary|Secondary alveolar ridges
Xerostomia|Xerostomia
Dry|Dry mouth
Reduced|Reduced salivation
High|High palate
Palate|Palate high-arched
Thin|Thin upper lip vermilion
Thin|Thin upper lip
Velopharyngeal|Velopharyngeal insufficiency
Velopharyngeal|Velopharyngeal incompetence
Furrowed|Furrowed tongue
Prominent|Prominent tongue grooves
Scrotal|Scrotal tongue
Gingival|Gingival hyperkeratosis
Hyperkeratosis,|Hyperkeratosis, gingival
Abnormality|Abnormality of taste sensation
Decreased|Decreased taste sensation
Decreased|Decreased taste
Gingival|Gingival bleeding
Oral|Oral bleeding
Tongue|Tongue telangiectasia
Oral|Oral cavity teleangiectasia
Gingivitis|Gingivitis
Everted|Everted lower lip vermilion
Drooping|Drooping lower lip
Eclabion|Eclabion
Everted|Everted lower lip
Everted|Everted prominent lower lip
Thin|Thin vermilion border
Thin|Thin vermillion
Abnormality|Abnormality of the head
Head|Head abnormality
Abnormality|Abnormality of the fontanelles and cranial sutures
Abnormality|Abnormality of the anterior fontanelle
Small|Small anterior fontanelle
Small|Small anterior fontanel
Hydrocephalus|Hydrocephalus
Hydrocephaly|Hydrocephaly
Nonsyndromal|Nonsyndromal hydrocephalus
Large|Large fontanelles
Enlarged|Enlarged fontanelles
Large|Large fontanel
Large|Large fontanelle
Large|Large fontanels
Large,|Large, late-closing fontanelle
Wide|Wide fontanelles
Abnormality|Abnormality of skull size
Parietal|Parietal bossing
Biparietal|Biparietal bossing
Bossing|Bossing of parietal bone
Trigonocephaly|Trigonocephaly
Brachyturricephaly|Brachyturricephaly
Turribrachycephaly|Turribrachycephaly
Abnormality|Abnormality of the sinuses
Sinusitis|Sinusitis
Brachycephaly|Brachycephaly
Dense|Dense calvaria
Microcephaly|Microcephaly
Decreased|Decreased head circumference
Reduced|Reduced head circumference
Small|Small head circumference
Progressive|Progressive microcephaly
Microcephaly,|Microcephaly, postnatal, progressive
Microcephaly,|Microcephaly, progressive
Acute|Acute sinusitis
Macrocephaly|Macrocephaly
Increased|Increased head circumference
Large|Large head
Large|Large head circumference
Macrocrania|Macrocrania
Wide|Wide anterior fontanel
Large|Large anterior fontanel
Large|Large anterior fontanelle
Large|Large open anterior fontanel
Large|Large open anterior fontanelle
Wide|Wide anterior fontanelle
Wide|Wide open anterior fontanelle
Turricephaly|Turricephaly
Oxycephaly|Oxycephaly
Abnormality|Abnormality of the mastoid
Mastoiditis|Mastoiditis
Cranial|Cranial asymmetry
Dolichocephaly|Dolichocephaly
Large|Large dolichocephalic skull
Scaphocephaly|Scaphocephaly
Turridolichocephaly|Turridolichocephaly
Prominent|Prominent occiput
Delayed|Delayed cranial suture closure
Broad|Broad late closing cranial sutures
Delayed|Delayed closure of fontanel
Delayed|Delayed closure of fontanelles
Delayed|Delayed closure of the fontanelles
Delayed|Delayed fontanel closure
Delayed|Delayed fontanelle closure
Late|Late closing fontanelles
Late|Late closure of fontanelle
Late-closing|Late-closing fontanelle
Open|Open sutures
Abnormality|Abnormality of the face
Malar|Malar flattening
Depressed|Depressed malar region
Flat|Flat midface
Malar|Malar hypoplasia
Mid-face|Mid-face hypoplasia
Midface|Midface hypoplasia
Facial|Facial grimacing
Small|Small face
Small|Small facies
Narrow|Narrow face
Narrow|Narrow facies
Long|Long face
Abnormality|Abnormality of the mandible
Retrognathia|Retrognathia
Receding|Receding chin
Receding|Receding mandible
Coarse|Coarse facial features
Coarse|Coarse face
Coarse|Coarse facies
Facial|Facial edema
Broad|Broad face
Abnormality|Abnormality of the ocular region
Epicanthus|Epicanthus
Epicanthal|Epicanthal fold
Epicanthal|Epicanthal folds
Epicanthic|Epicanthic folds
Epicanthus|Epicanthus palpebralis
Increased|Increased facial adipose tissue
Abnormality|Abnormality of the philtrum
Abnormal|Abnormal philtrum
Abnormality|Abnormality of the paralabial region
Broad|Broad philtrum
Wide|Wide philtrum
Abnormality|Abnormality of the forehead
Abnormality|Abnormality of facial adipose tissue
Loss|Loss of facial adipose tissue
Loss|Loss of facial subcutaneous adipose tissue
Loss|Loss of subcutaneous adipose tissue from face
Full|Full cheeks
Low|Low anterior hairline
Low|Low frontal hairline
Low-set|Low-set frontal hairline
Doll-like|Doll-like facies
Facial|Facial hypotonia
Mask-like|Mask-like facies
Amimia|Amimia
Expressionless|Expressionless face
Masklike|Masklike facies
Oval|Oval face
Abnormality|Abnormality of facial musculature
Mandibular|Mandibular prognathia
Enlarged|Enlarged mandible
Large|Large mandible
Mandible|Mandible prognathism
Mandibular|Mandibular prognathism
Prognathia|Prognathia
Prognathism|Prognathism
Prominent|Prominent chin
Prominent|Prominent jaw
Relative|Relative mandibular prognathism
Abnormality|Abnormality of the chin
Pointed|Pointed chin
Small|Small pointed chin
Microretrognathia|Microretrognathia
Retromicrognathia|Retromicrognathia
Abnormality|Abnormality of the midface
Round|Round face
Round|Round facial appearance
Round|Round facies
Abnormality|Abnormality of the orbital region
Hypertelorism|Hypertelorism
Increased|Increased interpupillary distance
Ocular|Ocular hypertelorism
Wide-set|Wide-set eyes
Facial|Facial myokymia
Smooth|Smooth philtrum
Flat|Flat philtrum
Philtrum,|Philtrum, smooth
Simple|Simple philtrum
Bird-like|Bird-like facies
Square|Square face
Short|Short philtrum
Facial|Facial asymmetry
Asymmetric|Asymmetric facies
Triangular|Triangular face
Triangular|Triangular facies
Abnormality|Abnormality of the maxilla
Hypoplasia|Hypoplasia of the maxilla
Hypoplastic|Hypoplastic maxilla
Hypoplastic|Hypoplastic maxillary bones
Maxillar|Maxillar hypoplasia
Maxillary|Maxillary hypoplasia
Small|Small maxilla
Facial|Facial hemangioma
Facial|Facial hemangiomata
Small|Small chin
Prominent|Prominent supraorbital ridges
Prominent|Prominent supraorbital ridge
Broad|Broad forehead
Wide|Wide forehead
Hypomimic|Hypomimic face
Pugilistic|Pugilistic facies
Sloping|Sloping forehead
Low,|Low, sloping forehead
Receding|Receding forehead
Receding,|Receding, small forehead
Sloping,|Sloping, narrow forehead
Narrow|Narrow forehead
Bitemporal|Bitemporal narrowing
Bitemporal|Bitemporal narrowness
Bitemporal|Bitemporal skull narrowing
Intertemporal|Intertemporal narrowing
Narrow|Narrow bitemporal diameter
Temporal|Temporal narrowness
Long|Long philtrum
Whistling|Whistling appearance
Micrognathia|Micrognathia
Hypoplastic|Hypoplastic mandible
Hypoplastic|Hypoplastic mandible condyle
Mandibular|Mandibular hypoplasia
Small|Small jaw
Small|Small mandible
High|High forehead
High,|High, protruding forehead
High,|High, sloping forehead
Widow's|Widow's peak
Small|Small forehead
Abnormality|Abnormality of the outer ear
Abnormal|Abnormal pinnae
Abnormality|Abnormality of the auricle
Ear|Ear anomalies
External|External ear malformations
Malformed|Malformed pinnae
Outer|Outer ear abnormality
Abnormal|Abnormal location of ears
Posteriorly|Posteriorly rotated ears
Ear,|Ear, posterior angulation, increased
Posteriorly|Posteriorly angulated ears
Posteriorly|Posteriorly rotated
Posteriorly|Posteriorly rotated auricles
Posteriorly-angulated|Posteriorly-angulated ears
Posteriorly-rotated|Posteriorly-rotated ears
Abnormality|Abnormality of the inner ear
Inner|Inner ear abnormality
Tinnitus|Tinnitus
Pulsatile|Pulsatile tinnitus (tympanic paraganglioma)
Otosclerosis|Otosclerosis
Abnormality|Abnormality of earlobe
Abnormal|Abnormal earlobe
Abnormality|Abnormality of ear lobe
Hearing|Hearing abnormality
Hearing|Hearing impairment
Congenital|Congenital deafness
Congenital|Congenital hearing loss
Deafness|Deafness
Hearing|Hearing defect
Abnormality|Abnormality of the nose
Low-set,|Low-set, posteriorly rotated ears
Low-set|Low-set posteriorly rotated ears
Low-set|Low-set ears
Low|Low set ears
Lowset|Lowset ears
Melotia|Melotia
Abnormality|Abnormality of the middle ear
Middle|Middle ear abnormalities
Middle|Middle ear abnormality
Acute|Acute otitis media
Abnormality|Abnormality of the auditory canal
Auditory|Auditory canal abnormality
Abnormality|Abnormality of cochlea
Incomplete|Incomplete partition of the cochlea type II
Abnormality|Abnormality of the pinna
Abnormal|Abnormal form of ears
Abnormality|Abnormality of the external ear
Abnormally|Abnormally shaped ears
Auricular|Auricular malformation
Deformed|Deformed auricles
Deformed|Deformed ears
Dysplastic|Dysplastic ears
Malformation|Malformation of auricle
Malformed|Malformed auricles
Malformed|Malformed ears
Malformed|Malformed external ears
Minor|Minor malformation of the auricles
Poorly|Poorly defined conchae
Simple|Simple ears
Cupped|Cupped ear
Cup-shaped|Cup-shaped ears
Simple,|Simple, cup-shaped ears
Stapes|Stapes ankylosis
Abnormality|Abnormality of periauricular region
Preauricular|Preauricular skin tag
Periauricular|Periauricular skin tag
Preauricular|Preauricular skin tags
Preauricular|Preauricular tag
Preauricular|Preauricular tag, isolated (skin covered and composed of elastic cartilage)
Preauricular|Preauricular tags
Small|Small earlobe
Hypoplastic|Hypoplastic earlobes
Hypoplastic|Hypoplastic lobules
Large,|Large, floppy ears
Absent|Absent earlobe
Earlobe,|Earlobe, absent
Lobeless|Lobeless ears
Otitis|Otitis media
Chronic|Chronic otitis media
OTITIS|OTITIS MEDIA, CHRONIC
Thickened|Thickened helices
Lop|Lop ear
Prominent|Prominent antihelix
Overfolded|Overfolded helix
Over-folded|Over-folded helices
Overfolded|Overfolded ears
Overfolded|Overfolded helices
Prelingual|Prelingual sensorineural hearing impairment
Deafness,|Deafness, sensorineural, prelingual
Prelingual|Prelingual sensorineural deafness 
Macrotia|Macrotia
Large|Large ears
Large|Large pinnae
Large|Large prominent ears
Large|Large protruding ears
Large,|Large, prominent ears
Large,|Large, prominent pinnae
Large,|Large, protruding ears
Large,|Large, dysplastic ears
Large|Large dysplastic ears
Stenosis|Stenosis of the external auditory canal
External|External auditory canal stenosis
Narrow|Narrow auditory canals
Narrow|Narrow external auditory canals
Narrow|Narrow external auditory meatus
Stenotic|Stenotic external auditory canal
Recurrent|Recurrent otitis media
Frequent|Frequent otitis media
Multiple|Multiple episodes of otitis media
Otitis|Otitis media, recurrent
Recurrent|Recurrent episodes of otitis media
Susceptibility|Susceptibility to otitis media
Conductive|Conductive hearing impairment
Conduction|Conduction deafness
Conductive|Conductive deafness
Conductive|Conductive hearing loss
Hearing|Hearing loss, conductive
Sensorineural|Sensorineural hearing impairment
HEARING|HEARING LOSS, SENSORINEURAL
Sensorineural|Sensorineural deafness
Progressive|Progressive sensorineural hearing impairment
Bilateral|Bilateral progressive sensorineural hearing loss
Hearing|Hearing loss, progressive sensorineural
Hearing|Hearing loss, sensorineural, bilateral, progressive
Hearing|Hearing loss, sensorineural, progressive
Progressive|Progressive bilateral sensorineural hearing loss
Sensorineural|Sensorineural hearing loss, progressive
Mixed|Mixed hearing impairment
HEARING|HEARING LOSS, MIXED
Mixed|Mixed hearing loss
Protruding|Protruding ear
Prominent|Prominent ear
Prominent|Prominent ears
Atresia|Atresia of the external auditory canal
Absent|Absent auditory canals
Absent|Absent external auditory canals
Atretic|Atretic auditory canal
Atretic|Atretic auditory canals
Atretic|Atretic external auditory canal
Atretic|Atretic external auditory canals
Auditory|Auditory canal atresia
External|External acoustic meatus atresia
External|External auditory canal atresia
External|External auditory meatal atresia
External|External auditory meatus atresia
Bulbous|Bulbous nose
Abnormality|Abnormality of the choanae
Slender|Slender nose
Narrow|Narrow nasal ridge
Pinched|Pinched nose
Abnormality|Abnormality of the nasal septum
Short|Short nasal septum
Epistaxis|Epistaxis
nose|nose bleeding
nosebleed|nosebleed
Abnormality|Abnormality of the nasal bridge
Abnormality|Abnormality of the nasal root
Prominent|Prominent nasal bridge
Elevated|Elevated nasal bridge
High|High nasal bridge
Prominent|Prominent nasal root
Abnormality|Abnormality of the nasal alae
Abnormality|Abnormality of the nasal ala
Hypoplastic|Hypoplastic nasal alae
Ala|Ala nasi, underdeveloped
Alar|Alar cartilage hypoplasia
Hypoplastic|Hypoplastic alae nasae
Hypoplastic|Hypoplastic alae nasi
Hypoplastic|Hypoplastic alar cartilage
Hypoplastic|Hypoplastic alar nasae
Hypoplastic|Hypoplastic nasal wings
Nasal|Nasal cartilage hypoplasia
Thin|Thin hypoplastic alae nasi
Wide|Wide nasal bridge
Broad|Broad nasal bridge
Broad|Broad nasal root
Broadened|Broadened nasal bridge
Nasal|Nasal bridge broad
Widened|Widened nasal bridge
Abnormality|Abnormality of the nasal mucosa
Nasal|Nasal mucosa telangiectasia
Abnormality|Abnormality of the nasal tip
Depressed|Depressed nasal tip
Flat|Flat nasal tip
Flattened|Flattened nasal tip
Nasal|Nasal tip, depressed
Nasal|Nasal tip, recessed
Nasal|Nasal tip, retruded
Convex|Convex nasal ridge
Beaklike|Beaklike protrusion
Hooked|Hooked nose
Wide|Wide nose
Broad|Broad nose
Narrow|Narrow nasal bridge
Nasal| Nasal bridge, thin
Narrow|Narrow nasal root
Nasal|Nasal Bridge, Narrow 
Pear-shaped|Pear-shaped nose
Prominent|Prominent nose
Disproportionately|Disproportionately large nose
Large|Large nose
Triangular|Triangular nasal tip
Choanal|Choanal stenosis
Coanal|Coanal stenosis
Choanal|Choanal atresia
Choanal|Choanal atresia or stenosis
Choanal|Choanal atresia/stenosis
Choanal|Choanal stenosis or atresia
Flared|Flared nostrils
Flared|Flared nasal alae
Broad|Broad nasal tip
Nasal| Nasal tip, wide
Broad,|Broad, upturned nose
Nasal|Nasal tip, broad
Bifid|Bifid nasal tip
Flat|Flat nose
Anosmia|Anosmia
Narrow|Narrow nose
Nasal|Nasal polyps
Anteverted|Anteverted nares
Anteverted|Anteverted nose
Anteverted|Anteverted nostrils
Nasal|Nasal tip, upturned
Nostrils|Nostrils anteverted
Upturned|Upturned nasal tip
Upturned|Upturned nose
Abnormality|Abnormality of the neck
Webbed|Webbed neck
Pterygium|Pterygium colli
Limited|Limited neck range of motion
Neck|Neck muscle weakness
Increased|Increased adipose tissue around the neck
Short|Short neck
Gastrointestinal|Gastrointestinal angiodysplasia
Long|Long neck
Spasmodic|Spasmodic torticollis
Cervical|Cervical dystonia
Thickened|Thickened nuchal skin fold
Excess|Excess nuchal skin
Redundant|Redundant nuchal skin
Broad|Broad neck
Cystic|Cystic hygroma
Cystic|Cystic hygroma of the neck
Abnormality|Abnormality of the eye
Abnormality|Abnormality of the retina
Retinal|Retinal coloboma
Abnormality|Abnormality of the cornea
Corneal|Corneal abnormalities
Corneal|Corneal abnormality
Microcornea|Microcornea
Decreased|Decreased corneal diameter
Astigmatism|Astigmatism
Hyperopic|Hyperopic astigmatism
Megalocornea|Megalocornea
Increased|Increased corneal diameter
Strabismus|Strabismus
Squint|Squint
Congenital|Congenital strabismus
Retinopathy|Retinopathy
Abnormality|Abnormality of globe location or size
Deeply|Deeply set eye
Deep|Deep set eye
Deep-set|Deep-set eyes
Sunken|Sunken eyes
Keratitis|Keratitis
Abnormality|Abnormality of the eyelid
Abnormality|Abnormality of the eyelids
Abnormality|Abnormality of the fovea
Downslanted|Downslanted palpebral fissures
Antimongoloid|Antimongoloid eye slant
Antimongoloid|Antimongoloid slant of palpebral fissures
Antimongoloid|Antimongoloid slanted palpebral fissures
Down|Down slanting palpebral fissures
Down-slanted|Down-slanted palpebral fissures
Down-slanting|Down-slanting palpebral fissure
Down-slanting|Down-slanting palpebral fissures
Downslanting|Downslanting palpebral fissure
Downslanting|Downslanting palpebral fissures
Downward|Downward slanted palpebral fissures
Downward-slanting|Downward-slanting palpebral fissures
Palpebral|Palpebral fissures down-slanted
Recurrent|Recurrent corneal erosions
Corneal|Corneal erosions, recurrent
Corneal|Corneal ulcerations
Recurrent|Recurrent corneal ulceration
Abnormality|Abnormality of eye movement
Abnormal|Abnormal extraocular movement
Abnormal|Abnormal extraocular movements
Abnormal|Abnormal eye motility
Abnormal|Abnormal eye movement
Abnormal|Abnormal eye movements
Abnormal|Abnormal ocular movements
Eye|Eye movement abnormalities
Ocular|Ocular movement abnormalities
Oculomotor|Oculomotor abnormalities
Globe|Globe retraction and deviation on abduction
Blepharitis|Blepharitis
Abnormality|Abnormality of the eyelashes
Eyelash|Eyelash abnormality
Glaucoma|Glaucoma
Abnormality|Abnormality of the conjunctiva
Tortuosity|Tortuosity of conjunctival vessels
Abnormality|Abnormality of vision
Visual|Visual impairment
Decreased|Decreased visual acuity
Impaired|Impaired vision
Poor|Poor vision
Poor|Poor visual acuity
